origin_airport_name,destination_airport_name,count
Al Maktoum International Airport,Hangzhou Xiaoshan International Airport,16
Xiamen Gaoqi International Airport,Melbourne International Airport,16
King Shaka International Airport,Dubai International Airport,16
Guangzhou Baiyun International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,16
Harry Reid International Airport,Kahului International Airport,32
Miami International Airport,Phoenix Sky Harbor International Airport,16
London Heathrow Airport,Osmany International Airport,16
Mikonos Airport,London Gatwick Airport,16
Singapore Changi Airport,Taiwan Taoyuan International Airport,11
