origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,16
Charles de Gaulle International Airport,Juan Santamaría International Airport,16
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,16
Geneva Cointrin International Airport,Chicago Midway International Airport,16
Frankfurt Airport,Beijing Capital International Airport,32
Brussels Airport,Hong Kong International Airport,16
Vienna International Airport,John F Kennedy International Airport,16
Washington Dulles International Airport,Indira Gandhi International Airport,16
Newark Liberty International Airport,Narita International Airport,16
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,16
Chengdu Tianfu International Airport,Cairo International Airport,16
