origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,16
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,16
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,48
Tokyo Haneda International Airport,Frankfurt Airport,16
Ninoy Aquino International Airport,Kuwait International Airport,16
Kuwait International Airport,Bandaranaike International Colombo Airport,16
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,16
London Heathrow Airport,King Abdulaziz International Airport,16
Abu Dhabi International Airport,Kuala Lumpur International Airport,16
La Guardia Airport,Denver International Airport,8
