origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,16
Warsaw Chopin Airport,Chicago O'Hare International Airport,16
John F Kennedy International Airport,Hamad International Airport,16
Helsinki Vantaa Airport,Tokyo Haneda International Airport,16
San Diego International Airport,John F Kennedy International Airport,16
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,32
Vnukovo International Airport,Urgench Airport,16
Norman Y. Mineta San Jose International Airport,Nashville International Airport,16
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,16
La Guardia Airport,Dallas Fort Worth International Airport,9
