origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,16
Cape Town International Airport,İstanbul Airport,16
Mohammed V International Airport,Miami International Airport,16
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,16
Taiwan Taoyuan International Airport,İstanbul Airport,16
Chicago O'Hare International Airport,Indira Gandhi International Airport,16
Tribhuvan International Airport,Dubai International Airport,16
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,16
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,16
Domodedovo International Airport,Yakutsk Airport,6
