origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,13
Cape Town International Airport,İstanbul Airport,13
Mohammed V International Airport,Miami International Airport,13
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,13
Taiwan Taoyuan International Airport,İstanbul Airport,13
Chicago O'Hare International Airport,Indira Gandhi International Airport,13
Tribhuvan International Airport,Dubai International Airport,13
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,13
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,13
Tenerife Sur Airport,Amsterdam Airport Schiphol,10
Domodedovo International Airport,Yakutsk Airport,3
