origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,13
İstanbul Airport,Tocumen International Airport,13
Incheon International Airport,Dubai International Airport,26
Charles de Gaulle International Airport,Miami International Airport,13
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,13
Beijing Capital International Airport,Charles de Gaulle International Airport,13
Roland Garros Airport,Charles de Gaulle International Airport,13
John F Kennedy International Airport,San Francisco International Airport,26
Kuala Lumpur International Airport,London Heathrow Airport,13
Harry Reid International Airport,Philadelphia International Airport,13
Roland Garros Airport,Paris-Orly Airport,26
Indira Gandhi International Airport,Hong Kong International Airport,18
