origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,13
Frankfurt Airport,Punta Cana International Airport,13
Malpensa International Airport,John F Kennedy International Airport,13
Warsaw Chopin Airport,Chicago O'Hare International Airport,13
John F Kennedy International Airport,Hamad International Airport,13
Helsinki Vantaa Airport,Tokyo Haneda International Airport,13
San Diego International Airport,John F Kennedy International Airport,13
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,26
Vnukovo International Airport,Urgench Airport,13
Norman Y. Mineta San Jose International Airport,Nashville International Airport,13
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,13
La Guardia Airport,Dallas Fort Worth International Airport,6
