origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,13
Charles de Gaulle International Airport,Juan Santamaría International Airport,13
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,13
Geneva Cointrin International Airport,Chicago Midway International Airport,13
Frankfurt Airport,Beijing Capital International Airport,26
Brussels Airport,Hong Kong International Airport,13
Vienna International Airport,John F Kennedy International Airport,13
Washington Dulles International Airport,Indira Gandhi International Airport,13
Newark Liberty International Airport,Narita International Airport,13
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,13
Chengdu Tianfu International Airport,Cairo International Airport,13
