origin_airport_name,destination_airport_name,count
London Gatwick Airport,Aeropuerto Internacional de Cancún,13
Guangzhou Baiyun International Airport,İstanbul Airport,13
Beijing Daxing International Airport,King Khaled International Airport,13
Humberto Delgado Airport (Lisbon Portela Airport),John F Kennedy International Airport,13
Los Angeles / Tom Bradley International Airport,Philip S. W. Goldson International Airport,13
Malé International Airport,İstanbul Airport,13
Perth International Airport,Singapore Changi Airport,13
Hong Kong International Airport,Vancouver International Airport,13
Imam Khomeini International Airport,Shanghai Pudong International Airport,13
Domodedovo International Airport,Antalya International Airport,2
