origin_airport_name,destination_airport_name,count
Memphis International Airport,Narita International Airport,13
Aeropuerto Internacional Gral. Abelardo Rodriguez,Shenzhen Bao'an International Airport,13
Xiamen Gaoqi International Airport,Charles de Gaulle International Airport,13
Hamad International Airport,Kuala Lumpur International Airport,13
Singapore Changi Airport,Tianjin Binhai International Airport,13
London Heathrow Airport,Guarulhos - Governador André Franco Montoro International Airport,13
London Heathrow Airport,Cairo International Airport,13
Hamad International Airport,Melbourne International Airport,13
