origin_airport_name,destination_airport_name,count
Incheon International Airport,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,13
London Heathrow Airport,Los Angeles / Tom Bradley International Airport,91
London Heathrow Airport,Rajiv Gandhi International Airport,13
Singapore Changi Airport,Newark Liberty International Airport,13
Sheremetyevo International Airport,Yelizovo Airport,13
Hazrat Shahjalal International Airport,Cairo International Airport,13
Daniel K Inouye International Airport,Phoenix Sky Harbor International Airport,2
