origin_airport_name,destination_airport_name,count
İstanbul Airport,Toronto Lester B. Pearson International Airport,13
Auckland International Airport,Hong Kong International Airport,13
Phuket International Airport,Hamad International Airport,13
Los Angeles / Tom Bradley International Airport,Fort Lauderdale Hollywood International Airport,13
Suvarnabhumi Airport,Frankfurt Airport,13
Ontario International Airport,Philadelphia International Airport,8
Seattle–Tacoma International Airport,Pittsburgh International Airport,2
