origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,11
İstanbul Airport,Tocumen International Airport,11
Incheon International Airport,Dubai International Airport,22
Charles de Gaulle International Airport,Miami International Airport,11
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,11
Beijing Capital International Airport,Charles de Gaulle International Airport,11
Roland Garros Airport,Charles de Gaulle International Airport,11
John F Kennedy International Airport,San Francisco International Airport,22
Kuala Lumpur International Airport,London Heathrow Airport,11
Harry Reid International Airport,Philadelphia International Airport,11
Roland Garros Airport,Paris-Orly Airport,22
Indira Gandhi International Airport,Hong Kong International Airport,14
