origin_airport_name,destination_airport_name,count
Adolfo Suárez Madrid–Barajas Airport,Guarulhos - Governador André Franco Montoro International Airport,22
Cincinnati Northern Kentucky International Airport,Bahrain International Airport,11
John F Kennedy International Airport,Daniel K Inouye International Airport,22
Imam Khomeini International Airport,Beijing Capital International Airport,11
Humberto Delgado Airport (Lisbon Portela Airport),Montreal / Pierre Elliott Trudeau International Airport,11
Baltimore/Washington International Thurgood Marshall Airport,Denver International Airport,11
