origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,11
Cape Town International Airport,İstanbul Airport,11
Mohammed V International Airport,Miami International Airport,11
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,11
Taiwan Taoyuan International Airport,İstanbul Airport,11
Chicago O'Hare International Airport,Indira Gandhi International Airport,11
Tribhuvan International Airport,Dubai International Airport,11
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,11
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,11
Tenerife Sur Airport,Amsterdam Airport Schiphol,8
Domodedovo International Airport,Yakutsk Airport,1
