origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,11
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,11
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,33
Tokyo Haneda International Airport,Frankfurt Airport,11
Ninoy Aquino International Airport,Kuwait International Airport,11
Kuwait International Airport,Bandaranaike International Colombo Airport,11
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,11
London Heathrow Airport,King Abdulaziz International Airport,11
Abu Dhabi International Airport,Kuala Lumpur International Airport,11
La Guardia Airport,Denver International Airport,3
