origin_airport_name,destination_airport_name,count
London Heathrow Airport,Hartsfield Jackson Atlanta International Airport,33
Bandaranaike International Colombo Airport,İstanbul Airport,11
King Abdulaziz International Airport,Calicut International Airport,11
Dallas Fort Worth International Airport,Tokyo Haneda International Airport,11
Chengdu Tianfu International Airport,Sheremetyevo International Airport,11
Humberto Delgado Airport (Lisbon Portela Airport),Toronto Lester B. Pearson International Airport,11
