origin_airport_name,destination_airport_name,count
London Gatwick Airport,Aeropuerto Internacional de Cancún,11
Guangzhou Baiyun International Airport,İstanbul Airport,11
Beijing Daxing International Airport,King Khaled International Airport,11
Humberto Delgado Airport (Lisbon Portela Airport),John F Kennedy International Airport,11
Los Angeles / Tom Bradley International Airport,Philip S. W. Goldson International Airport,11
Malé International Airport,İstanbul Airport,11
Perth International Airport,Singapore Changi Airport,11
Hong Kong International Airport,Vancouver International Airport,11
Imam Khomeini International Airport,Shanghai Pudong International Airport,11
