origin_airport_name,destination_airport_name,count
Taiwan Taoyuan International Airport,George Bush Intercontinental Houston Airport,11
Edinburgh Airport,Orlando International Airport,11
Kuala Lumpur International Airport,İstanbul Airport,11
Phuket International Airport,Sydney Kingsford Smith International Airport,11
Frankfurt Airport,Logan International Airport,11
San Francisco International Airport,John F Kennedy International Airport,22
Zürich Airport,Logan International Airport,11
Washington Dulles International Airport,San Diego International Airport,11
