origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,11
Frankfurt Airport,Punta Cana International Airport,11
Malpensa International Airport,John F Kennedy International Airport,11
Warsaw Chopin Airport,Chicago O'Hare International Airport,11
John F Kennedy International Airport,Hamad International Airport,11
Helsinki Vantaa Airport,Tokyo Haneda International Airport,11
San Diego International Airport,John F Kennedy International Airport,11
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,22
Vnukovo International Airport,Urgench Airport,11
Norman Y. Mineta San Jose International Airport,Nashville International Airport,11
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,11
La Guardia Airport,Dallas Fort Worth International Airport,4
