origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,18
İstanbul Airport,Tocumen International Airport,18
Incheon International Airport,Dubai International Airport,36
Charles de Gaulle International Airport,Miami International Airport,18
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,18
Beijing Capital International Airport,Charles de Gaulle International Airport,18
Roland Garros Airport,Charles de Gaulle International Airport,18
John F Kennedy International Airport,San Francisco International Airport,36
Kuala Lumpur International Airport,London Heathrow Airport,18
Harry Reid International Airport,Philadelphia International Airport,18
Roland Garros Airport,Paris-Orly Airport,36
Indira Gandhi International Airport,Hong Kong International Airport,28
