origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,18
Cape Town International Airport,İstanbul Airport,18
Mohammed V International Airport,Miami International Airport,18
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,18
Taiwan Taoyuan International Airport,İstanbul Airport,18
Chicago O'Hare International Airport,Indira Gandhi International Airport,18
Tribhuvan International Airport,Dubai International Airport,18
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,18
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,18
Domodedovo International Airport,Yakutsk Airport,8
