origin_airport_name,destination_airport_name,count
Zürich Airport,Suvarnabhumi Airport,36
Montreal / Pierre Elliott Trudeau International Airport,Narita International Airport,18
Teterboro Airport,Hartsfield Jackson Atlanta International Airport,16
