origin_airport_name,destination_airport_name,count
Taiwan Taoyuan International Airport,John F Kennedy International Airport,18
London Heathrow Airport,Suvarnabhumi Airport,18
Charles de Gaulle International Airport,San Francisco International Airport,18
Charles de Gaulle International Airport,Washington Dulles International Airport,36
Vnukovo International Airport,Yakutsk Airport,18
Sochi International Airport,Krasnoyarsk International Airport,18
Singapore Changi Airport,Zhengzhou Xinzheng International Airport,18
