origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,18
Warsaw Chopin Airport,Chicago O'Hare International Airport,18
John F Kennedy International Airport,Hamad International Airport,18
Helsinki Vantaa Airport,Tokyo Haneda International Airport,18
San Diego International Airport,John F Kennedy International Airport,18
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,36
Vnukovo International Airport,Urgench Airport,18
Norman Y. Mineta San Jose International Airport,Nashville International Airport,18
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,18
La Guardia Airport,Dallas Fort Worth International Airport,11
