origin_airport_name,destination_airport_name,count
London Gatwick Airport,Orlando International Airport,18
Suvarnabhumi Airport,Ben Gurion International Airport,18
Tokyo Haneda International Airport,Singapore Changi Airport,18
Charles de Gaulle International Airport,OR Tambo International Airport,18
Guarulhos - Governador André Franco Montoro International Airport,Adolfo Suárez Madrid–Barajas Airport,36
Norman Y. Mineta San Jose International Airport,Laurence G Hanscom Field,18
St Louis Lambert International Airport,San Francisco International Airport,18
OR Tambo International Airport,Zürich Airport,18
Ted Stevens Anchorage International Airport,Narita International Airport,18
