origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,18
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,18
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,54
Tokyo Haneda International Airport,Frankfurt Airport,18
Ninoy Aquino International Airport,Kuwait International Airport,18
Kuwait International Airport,Bandaranaike International Colombo Airport,18
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,18
London Heathrow Airport,King Abdulaziz International Airport,18
Abu Dhabi International Airport,Kuala Lumpur International Airport,18
La Guardia Airport,Denver International Airport,10
