origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Hong Kong International Airport,2
İstanbul Airport,Miami International Airport,2
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,2
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,6
Tokyo Haneda International Airport,Frankfurt Airport,2
Ninoy Aquino International Airport,Kuwait International Airport,2
Kuwait International Airport,Bandaranaike International Colombo Airport,2
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,2
London Heathrow Airport,King Abdulaziz International Airport,2
Abu Dhabi International Airport,Kuala Lumpur International Airport,2
Punta Cana International Airport,Logan International Airport,2
