origin_airport_name,destination_airport_name,count
Munich Airport,Los Angeles / Tom Bradley International Airport,2
Frankfurt Airport,Frank Pais International Airport,2
Charles de Gaulle International Airport,Aeropuerto Internacional Lic. Benito Juárez,4
Kempegowda International Airport,Sydney Kingsford Smith International Airport,2
Mohammed V International Airport,John F Kennedy International Airport,2
Humberto Delgado Airport (Lisbon Portela Airport),Recife/Guararapes - Gilberto Freyre International Airport,2
London Heathrow Airport,Chhatrapati Shivaji International Airport,2
Miami International Airport,Denver International Airport,2
Soekarno-Hatta International Airport,Dubai International Airport,2
