origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,2
Charles de Gaulle International Airport,Juan Santamaría International Airport,2
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,2
Geneva Cointrin International Airport,Chicago Midway International Airport,2
Frankfurt Airport,Beijing Capital International Airport,4
Brussels Airport,Hong Kong International Airport,2
Vienna International Airport,John F Kennedy International Airport,2
Washington Dulles International Airport,Indira Gandhi International Airport,2
Newark Liberty International Airport,Narita International Airport,2
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,2
Tbilisi International Airport,Amsterdam Airport Schiphol,2
Chengdu Tianfu International Airport,Cairo International Airport,2
