origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,2
Frankfurt Airport,Punta Cana International Airport,2
Malpensa International Airport,John F Kennedy International Airport,2
Warsaw Chopin Airport,Chicago O'Hare International Airport,2
John F Kennedy International Airport,Hamad International Airport,2
Helsinki Vantaa Airport,Tokyo Haneda International Airport,2
San Diego International Airport,John F Kennedy International Airport,2
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,4
Vnukovo International Airport,Urgench Airport,2
Norman Y. Mineta San Jose International Airport,Nashville International Airport,2
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,2
