origin_airport_name,destination_airport_name,count
Al Maktoum International Airport,Hangzhou Xiaoshan International Airport,8
Xiamen Gaoqi International Airport,Melbourne International Airport,8
King Shaka International Airport,Dubai International Airport,8
Guangzhou Baiyun International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,8
Harry Reid International Airport,Kahului International Airport,16
Miami International Airport,Phoenix Sky Harbor International Airport,8
London Heathrow Airport,Osmany International Airport,8
Mikonos Airport,London Gatwick Airport,8
Singapore Changi Airport,Taiwan Taoyuan International Airport,3
