origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,8
Frankfurt Airport,Punta Cana International Airport,8
Malpensa International Airport,John F Kennedy International Airport,8
Warsaw Chopin Airport,Chicago O'Hare International Airport,8
John F Kennedy International Airport,Hamad International Airport,8
Helsinki Vantaa Airport,Tokyo Haneda International Airport,8
San Diego International Airport,John F Kennedy International Airport,8
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,16
Vnukovo International Airport,Urgench Airport,8
Norman Y. Mineta San Jose International Airport,Nashville International Airport,8
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,8
La Guardia Airport,Dallas Fort Worth International Airport,1
