origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,8
Charles de Gaulle International Airport,Juan Santamaría International Airport,8
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,8
Geneva Cointrin International Airport,Chicago Midway International Airport,8
Frankfurt Airport,Beijing Capital International Airport,16
Brussels Airport,Hong Kong International Airport,8
Vienna International Airport,John F Kennedy International Airport,8
Washington Dulles International Airport,Indira Gandhi International Airport,8
Newark Liberty International Airport,Narita International Airport,8
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,8
Chengdu Tianfu International Airport,Cairo International Airport,8
