origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,8
İstanbul Airport,Tocumen International Airport,8
Incheon International Airport,Dubai International Airport,16
Charles de Gaulle International Airport,Miami International Airport,8
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,8
Beijing Capital International Airport,Charles de Gaulle International Airport,8
Roland Garros Airport,Charles de Gaulle International Airport,8
John F Kennedy International Airport,San Francisco International Airport,16
Kuala Lumpur International Airport,London Heathrow Airport,8
Harry Reid International Airport,Philadelphia International Airport,8
Roland Garros Airport,Paris-Orly Airport,16
Indira Gandhi International Airport,Hong Kong International Airport,8
