origin_airport_name,destination_airport_name,count
Los Angeles / Tom Bradley International Airport,Xiamen Gaoqi International Airport,8
Charles de Gaulle International Airport,Dallas Fort Worth International Airport,8
Miami International Airport,İstanbul Airport,8
Guarulhos - Governador André Franco Montoro International Airport,Orlando International Airport,8
Sheremetyevo International Airport,Shenyang Taoxian International Airport,8
Ted Stevens Anchorage International Airport,Incheon International Airport,8
