origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,9
Cape Town International Airport,İstanbul Airport,9
Mohammed V International Airport,Miami International Airport,9
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,9
Taiwan Taoyuan International Airport,İstanbul Airport,9
Chicago O'Hare International Airport,Indira Gandhi International Airport,9
Tribhuvan International Airport,Dubai International Airport,9
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,9
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,9
Tenerife Sur Airport,Amsterdam Airport Schiphol,6
