origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,9
İstanbul Airport,Tocumen International Airport,9
Incheon International Airport,Dubai International Airport,18
Charles de Gaulle International Airport,Miami International Airport,9
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,9
Beijing Capital International Airport,Charles de Gaulle International Airport,9
Roland Garros Airport,Charles de Gaulle International Airport,9
John F Kennedy International Airport,San Francisco International Airport,18
Kuala Lumpur International Airport,London Heathrow Airport,9
Harry Reid International Airport,Philadelphia International Airport,9
Roland Garros Airport,Paris-Orly Airport,18
Indira Gandhi International Airport,Hong Kong International Airport,10
