origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,9
Frankfurt Airport,Punta Cana International Airport,9
Malpensa International Airport,John F Kennedy International Airport,9
Warsaw Chopin Airport,Chicago O'Hare International Airport,9
John F Kennedy International Airport,Hamad International Airport,9
Helsinki Vantaa Airport,Tokyo Haneda International Airport,9
San Diego International Airport,John F Kennedy International Airport,9
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,18
Vnukovo International Airport,Urgench Airport,9
Norman Y. Mineta San Jose International Airport,Nashville International Airport,9
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,9
La Guardia Airport,Dallas Fort Worth International Airport,2
