origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,9
Charles de Gaulle International Airport,Juan Santamaría International Airport,9
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,9
Geneva Cointrin International Airport,Chicago Midway International Airport,9
Frankfurt Airport,Beijing Capital International Airport,18
Brussels Airport,Hong Kong International Airport,9
Vienna International Airport,John F Kennedy International Airport,9
Washington Dulles International Airport,Indira Gandhi International Airport,9
Newark Liberty International Airport,Narita International Airport,9
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,9
Chengdu Tianfu International Airport,Cairo International Airport,9
