origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,22
Warsaw Chopin Airport,Chicago O'Hare International Airport,22
John F Kennedy International Airport,Hamad International Airport,22
Helsinki Vantaa Airport,Tokyo Haneda International Airport,22
San Diego International Airport,John F Kennedy International Airport,22
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,44
Vnukovo International Airport,Urgench Airport,22
Norman Y. Mineta San Jose International Airport,Nashville International Airport,22
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,22
La Guardia Airport,Dallas Fort Worth International Airport,15
