origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,22
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,22
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,66
Tokyo Haneda International Airport,Frankfurt Airport,22
Ninoy Aquino International Airport,Kuwait International Airport,22
Kuwait International Airport,Bandaranaike International Colombo Airport,22
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,22
London Heathrow Airport,King Abdulaziz International Airport,22
Abu Dhabi International Airport,Kuala Lumpur International Airport,22
La Guardia Airport,Denver International Airport,14
