origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,22
Charles de Gaulle International Airport,Juan Santamaría International Airport,22
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,22
Geneva Cointrin International Airport,Chicago Midway International Airport,22
Frankfurt Airport,Beijing Capital International Airport,46
Brussels Airport,Hong Kong International Airport,22
Vienna International Airport,John F Kennedy International Airport,22
Washington Dulles International Airport,Indira Gandhi International Airport,22
Newark Liberty International Airport,Narita International Airport,22
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,22
Chengdu Tianfu International Airport,Cairo International Airport,22
