origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,19
Cape Town International Airport,İstanbul Airport,19
Mohammed V International Airport,Miami International Airport,19
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,19
Taiwan Taoyuan International Airport,İstanbul Airport,19
Chicago O'Hare International Airport,Indira Gandhi International Airport,19
Tribhuvan International Airport,Dubai International Airport,19
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,19
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,19
Domodedovo International Airport,Yakutsk Airport,9
