origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,19
Charles de Gaulle International Airport,Juan Santamaría International Airport,19
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,19
Geneva Cointrin International Airport,Chicago Midway International Airport,19
Frankfurt Airport,Beijing Capital International Airport,38
Brussels Airport,Hong Kong International Airport,19
Vienna International Airport,John F Kennedy International Airport,19
Washington Dulles International Airport,Indira Gandhi International Airport,19
Newark Liberty International Airport,Narita International Airport,19
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,19
Chengdu Tianfu International Airport,Cairo International Airport,19
