origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,19
İstanbul Airport,Tocumen International Airport,19
Incheon International Airport,Dubai International Airport,38
Charles de Gaulle International Airport,Miami International Airport,19
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,19
Beijing Capital International Airport,Charles de Gaulle International Airport,19
Roland Garros Airport,Charles de Gaulle International Airport,19
John F Kennedy International Airport,San Francisco International Airport,38
Kuala Lumpur International Airport,London Heathrow Airport,19
Harry Reid International Airport,Philadelphia International Airport,19
Roland Garros Airport,Paris-Orly Airport,38
Indira Gandhi International Airport,Hong Kong International Airport,30
