origin_airport_name,destination_airport_name,count
Charles de Gaulle International Airport,Aeropuerto Internacional Lic. Benito Juárez,38
Kempegowda International Airport,Sydney Kingsford Smith International Airport,19
Humberto Delgado Airport (Lisbon Portela Airport),Recife/Guararapes - Gilberto Freyre International Airport,19
London Heathrow Airport,Chhatrapati Shivaji International Airport,19
Miami International Airport,Denver International Airport,19
Soekarno-Hatta International Airport,Dubai International Airport,19
Paphos International Airport,Cardiff International Airport,11
