origin_airport_name,destination_airport_name,count
London Gatwick Airport,Aeropuerto Internacional de Cancún,19
Guangzhou Baiyun International Airport,İstanbul Airport,19
Beijing Daxing International Airport,King Khaled International Airport,19
Humberto Delgado Airport (Lisbon Portela Airport),John F Kennedy International Airport,19
Los Angeles / Tom Bradley International Airport,Philip S. W. Goldson International Airport,19
Malé International Airport,İstanbul Airport,19
Hong Kong International Airport,Vancouver International Airport,19
Imam Khomeini International Airport,Shanghai Pudong International Airport,19
Domodedovo International Airport,Antalya International Airport,8
