origin_airport_name,destination_airport_name,count
Malpensa International Airport,John F Kennedy International Airport,19
Warsaw Chopin Airport,Chicago O'Hare International Airport,19
John F Kennedy International Airport,Hamad International Airport,19
Helsinki Vantaa Airport,Tokyo Haneda International Airport,19
San Diego International Airport,John F Kennedy International Airport,19
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,38
Vnukovo International Airport,Urgench Airport,19
Norman Y. Mineta San Jose International Airport,Nashville International Airport,19
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,19
La Guardia Airport,Dallas Fort Worth International Airport,12
