origin_airport_name,destination_airport_name,count
Al Maktoum International Airport,Hangzhou Xiaoshan International Airport,21
Xiamen Gaoqi International Airport,Melbourne International Airport,21
King Shaka International Airport,Dubai International Airport,21
Guangzhou Baiyun International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,21
Harry Reid International Airport,Kahului International Airport,42
Miami International Airport,Phoenix Sky Harbor International Airport,21
London Heathrow Airport,Osmany International Airport,21
Mikonos Airport,London Gatwick Airport,21
Singapore Changi Airport,Taiwan Taoyuan International Airport,16
