origin_airport_name,destination_airport_name,count
London Heathrow Airport,Tokyo Haneda International Airport,31
Charles de Gaulle International Airport,Denver International Airport,21
Melbourne International Airport,Tan Son Nhat International Airport,21
Munich Airport,Logan International Airport,21
Hamad International Airport,Ngurah Rai (Bali) International Airport,21
Mohammed V International Airport,Washington Dulles International Airport,21
Montreal / Pierre Elliott Trudeau International Airport,Mohammed V International Airport,21
Salt Lake City International Airport,Daniel K Inouye International Airport,21
