origin_airport_name,destination_airport_name,count
Guangzhou Baiyun International Airport,Melbourne International Airport,21
Cape Town International Airport,İstanbul Airport,21
Mohammed V International Airport,Miami International Airport,21
Sir Seewoosagur Ramgoolam International Airport,İstanbul Airport,21
Taiwan Taoyuan International Airport,İstanbul Airport,21
Chicago O'Hare International Airport,Indira Gandhi International Airport,21
Tribhuvan International Airport,Dubai International Airport,21
Chicago O'Hare International Airport,Ted Stevens Anchorage International Airport,21
Shanghai Pudong International Airport,Budapest Liszt Ferenc International Airport,21
Domodedovo International Airport,Yakutsk Airport,11
