origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,21
İstanbul Airport,Tocumen International Airport,21
Incheon International Airport,Dubai International Airport,42
Charles de Gaulle International Airport,Miami International Airport,21
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,21
Beijing Capital International Airport,Charles de Gaulle International Airport,21
Roland Garros Airport,Charles de Gaulle International Airport,21
John F Kennedy International Airport,San Francisco International Airport,42
Kuala Lumpur International Airport,London Heathrow Airport,21
Harry Reid International Airport,Philadelphia International Airport,21
Roland Garros Airport,Paris-Orly Airport,42
Indira Gandhi International Airport,Hong Kong International Airport,34
