origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,21
Charles de Gaulle International Airport,Juan Santamaría International Airport,21
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,21
Geneva Cointrin International Airport,Chicago Midway International Airport,21
Frankfurt Airport,Beijing Capital International Airport,43
Brussels Airport,Hong Kong International Airport,21
Vienna International Airport,John F Kennedy International Airport,21
Washington Dulles International Airport,Indira Gandhi International Airport,21
Newark Liberty International Airport,Narita International Airport,21
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,21
Chengdu Tianfu International Airport,Cairo International Airport,21
