origin_airport_name,destination_airport_name,count
İstanbul Airport,Miami International Airport,21
Murtala Muhammed International Airport,Hartsfield Jackson Atlanta International Airport,21
Charles de Gaulle International Airport,Los Angeles / Tom Bradley International Airport,63
Tokyo Haneda International Airport,Frankfurt Airport,21
Ninoy Aquino International Airport,Kuwait International Airport,21
Kuwait International Airport,Bandaranaike International Colombo Airport,21
Baltimore/Washington International Thurgood Marshall Airport,San Diego International Airport,21
London Heathrow Airport,King Abdulaziz International Airport,21
Abu Dhabi International Airport,Kuala Lumpur International Airport,21
La Guardia Airport,Denver International Airport,13
