origin_airport_name,destination_airport_name,count
Louisville Muhammad Ali International Airport,Narita International Airport,3
Frankfurt Airport,Punta Cana International Airport,3
Malpensa International Airport,John F Kennedy International Airport,3
Warsaw Chopin Airport,Chicago O'Hare International Airport,3
John F Kennedy International Airport,Hamad International Airport,3
Helsinki Vantaa Airport,Tokyo Haneda International Airport,3
San Diego International Airport,John F Kennedy International Airport,3
Ted Stevens Anchorage International Airport,John F Kennedy International Airport,6
Vnukovo International Airport,Urgench Airport,3
Norman Y. Mineta San Jose International Airport,Nashville International Airport,3
Amsterdam Airport Schiphol,Chhatrapati Shivaji International Airport,3
