origin_airport_name,destination_airport_name,count
London Heathrow Airport,Singapore Changi Airport,3
İstanbul Airport,Tocumen International Airport,3
Incheon International Airport,Dubai International Airport,6
Charles de Gaulle International Airport,Miami International Airport,3
Athens Eleftherios Venizelos International Airport,Singapore Changi Airport,3
Beijing Capital International Airport,Charles de Gaulle International Airport,3
Roland Garros Airport,Charles de Gaulle International Airport,3
John F Kennedy International Airport,San Francisco International Airport,6
Kuala Lumpur International Airport,London Heathrow Airport,3
Harry Reid International Airport,Philadelphia International Airport,3
Roland Garros Airport,Paris-Orly Airport,6
Indira Gandhi International Airport,Hong Kong International Airport,3
