origin_airport_name,destination_airport_name,count
Amsterdam Airport Schiphol,Taiwan Taoyuan International Airport,3
Charles de Gaulle International Airport,Juan Santamaría International Airport,3
Adolfo Suárez Madrid–Barajas Airport,Jorge Chávez International Airport,3
Geneva Cointrin International Airport,Chicago Midway International Airport,3
Frankfurt Airport,Beijing Capital International Airport,6
Brussels Airport,Hong Kong International Airport,3
Vienna International Airport,John F Kennedy International Airport,3
Washington Dulles International Airport,Indira Gandhi International Airport,3
Newark Liberty International Airport,Narita International Airport,3
Rio Galeão – Tom Jobim International Airport,Rome–Fiumicino Leonardo da Vinci International Airport,3
Tbilisi International Airport,Amsterdam Airport Schiphol,3
Chengdu Tianfu International Airport,Cairo International Airport,3
