id,manufacturer,aircraft_name,airline_name
356e5bd4,Boeing,Boeing 787-9,Air New Zealand
356eda6e,Boeing,Boeing 777-300ER,Air France
356eea83,Airbus,Airbus A330-300,Iberia
356f044c,Boeing,Boeing 787-9,Norse Atlantic Airways
356f1adc,Boeing,Boeing 777-300ER,KLM
356f46eb,Airbus,Airbus A350-900,Singapore Airlines
356f7370,Boeing,Boeing 777-300ER,Emirates
356f7895,Airbus,Airbus A321neo,American Airlines
356f8065,Unknown,Boeing 737-800,Shanghai Airlines
356f81a0,Bombardier,Bombardier CRJ700,American Airlines
356f861d,Airbus,Airbus A320neo,Ural Airlines
356f87ac,Airbus,Airbus A330-200,China Eastern Airlines
