id,manufacturer,aircraft_name,airline_name
356e282f,Airbus,Airbus A350-900,Delta Air Lines
356e3099,Airbus,Airbus A350-900,Philippine Airlines
356e55eb,Airbus,Airbus A350-900,Singapore Airlines
356e7fb1,Boeing,Boeing 777-300ER,Air France
356e9ee2,Boeing,Boeing 777-300ER,China Eastern Airlines
356ecdd9,Airbus,Airbus A350-1000,Cathay Pacific
356f0f2d,Boeing,Boeing 787-9,LATAM Chile
356f406e,Boeing,Boeing 777-300ER,American Airlines
356f45be,Airbus,Airbus A330-900neo,Delta Air Lines
356f7f51,Boeing,Boeing 777-300ER,Qatar Airways
356f8168,Airbus,Airbus A330-200,Robin Hood Aviation
356f81e0,Boeing,Boeing 737 MAX 8,Southwest Airlines
356faa62,Boeing,Boeing 777-300ER,Saudia
