id,manufacturer,aircraft_name,airline_name
356e35ea,Boeing,Boeing 747-8,Atlas Air
356ea94e,Airbus,Airbus A350-900,Finnair
356eda16,Boeing,Boeing 777-300ER,Qatar Airways
356f1530,Airbus,Airbus A220-300,Air Canada
356f1ac9,Airbus,Airbus A350-900,Lufthansa Cargo
356f3be6,Boeing,Boeing 777-300ER,China Airlines
356f753b,Boeing,Boeing 787-9,China Southern Airlines
356f7e8c,Boeing,Boeing 747-8,Korean Air
356f91d2,Boeing,Boeing 777-300ER,EgyptAir
356fa15b,Airbus,Airbus A321neo,American Airlines
356fb37d,Boeing,Boeing 787-9,Japan Airlines
