id,manufacturer,aircraft_name,airline_name
356ea5fc,Airbus,Airbus A330-900neo,Azul Brazilian Airlines
356ed5a3,Airbus,Airbus A330-900neo,Delta Air Lines
356ed79e,Airbus,Airbus A330-200,Qantas
356edd04,Boeing,Boeing 787-9,British Airways
356ee15b,Airbus,Airbus A350-900,Air France
356eecac,Airbus,Airbus A330-900neo,Air Europa
356f3d9e,Airbus,Airbus A330-300,Aer Lingus
356f50d2,Boeing,Boeing 777-300ER,Cathay Pacific
356f5bcf,Boeing,Boeing 777-300ER,Qatar Airways
356f8da8,Boeing,Boeing 777-200,United Airlines
