id,manufacturer,aircraft_name,airline_name
356e31d3,Airbus,Airbus A380-800,Emirates
356e4aa9,Boeing,Boeing 777-200,United Airlines
356ea0fc,Boeing,Boeing 767-300,Delta Air Lines
356ecf11,Airbus,Airbus A340-600,Lufthansa Cargo
356ee696,Airbus,Airbus A330-300,SriLankan Airlines
356f3216,Airbus,Airbus A350-900,Air France
356f4b1b,Airbus,Airbus A330-300,Turkish Airlines
356f5236,Unknown,Boeing 737-800,Aeroflot
356f8fb6,Boeing,Boeing 737 MAX 8,T'way Air
356f96af,Boeing,Boeing 777-300ER,Turkish Airlines
356fa3b5,Unknown,Boeing 737 MAX 9,Alaska Airlines
